title,douban_link
龙珠超 ドラゴンボール超（スーパー）,https://movie.douban.com/subject/26378801/
魔卡少女樱剧场版：被封印的卡片 劇場版カードキャプターさくら 封印されたカード,https://movie.douban.com/subject/3117778/
天官赐福 第二季,https://movie.douban.com/subject/35318009/
玉子市场 たまこまーけっと,https://movie.douban.com/subject/20514713/
独自一人的异世界攻略 ひとりぼっちの異世界攻略,https://movie.douban.com/subject/36728672/
头文字D 第一季 頭文字D First Stage,https://movie.douban.com/subject/1867420/
名侦探柯南：江户川柯南失踪事件 史上最惨的两天 名探偵コナン 江戸川コナン失踪事件～史上最悪の二日間～,https://movie.douban.com/subject/26087473/
亚托莉 -我挚爱的时光- ATRI -My Dear Moments-,https://movie.douban.com/subject/36055781/
鬼灯的冷彻 鬼灯の冷徹,https://movie.douban.com/subject/24843604/
浪客剑心 るろうに剣心 -明治剣客浪漫譚-,https://movie.douban.com/subject/1763896/
机动战士高达 逆袭的夏亚 機動戦士ガンダム 逆襲のシャア,https://movie.douban.com/subject/1401536/
工作细胞BLACK はたらく細胞BLACK,https://movie.douban.com/subject/35041936/
ON YOUR MARK 吉卜力实验剧场 On Your Mark ジブリ実験剧场,https://movie.douban.com/subject/1432701/
悲喜渔生 ネガポジアングラー,https://movie.douban.com/subject/36989624/
蜡笔小新：我的搬家物语 仙人掌大袭击 映画クレヨンしんちゃん オラの引越し物語 サボテン大襲撃,https://movie.douban.com/subject/26280899/
文豪野犬 第三季 文豪ストレイドッグス 第3シーズン,https://movie.douban.com/subject/30279994/
夏洛特 Charlotte（シャーロット）,https://movie.douban.com/subject/26287800/
坂道上的阿波罗 坂道のアポロン,https://movie.douban.com/subject/10428482/
工作细胞：细胞大作战 はたらく細胞!! 最強の敵、再び。体の中は“腸”大騒ぎ！,https://movie.douban.com/subject/35131877/
情色漫画老师 エロマンガ先生,https://movie.douban.com/subject/26746533/
不死者之王 第四季 オーバーロードⅣ,https://movie.douban.com/subject/35460694/
小市民系列 小市民シリーズ,https://movie.douban.com/subject/36728735/
机甲拳击 第二季 NOMAD メガロボクス2,https://movie.douban.com/subject/34893332/
夜幕下的故事 Les contes de la nuit,https://movie.douban.com/subject/5938000/
狐妖小红娘 镜花缘篇,https://movie.douban.com/subject/36515737/
食戟之灵 食戟のソーマ,https://movie.douban.com/subject/26219198/
幸运星 らき☆すた,https://movie.douban.com/subject/2224505/
轻音少女 第二季 けいおん!!,https://movie.douban.com/subject/4223466/
靠废柴技能【状态异常】成为最强的我将蹂躏一切 ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで,https://movie.douban.com/subject/35778548/
夏目友人帐 第五季 特别篇 游戏盛宴 夏目友人帳 伍 特別編 遊戯の宴,https://movie.douban.com/subject/27017278/
洛洛历险记,https://movie.douban.com/subject/4117005/
斗破苍穹 第三季,https://movie.douban.com/subject/33413766/
继母的拖油瓶是我的前女友 継母の連れ子が元カノだった,https://movie.douban.com/subject/35539827/
神墓 第一季,https://movie.douban.com/subject/35623354/
魔法少女与恶曾是敌人。 かつて魔法少女と悪は敵対していた。,https://movie.douban.com/subject/36650714/
哆啦A梦：大雄的恐龙 ドラえもん のび太の恐竜,https://movie.douban.com/subject/1865943/
元气少女缘结神◎ 神様はじめました◎,https://movie.douban.com/subject/25945110/
乔西的虎与鱼 ジョゼと虎と魚たち,https://movie.douban.com/subject/34905764/
摇曳露营△ 第二季 ゆるキャン△ SEASON 2,https://movie.douban.com/subject/30358098/
机器人历险记 Robots,https://movie.douban.com/subject/1309011/
轮回七次的反派大小姐，在前敌国享受随心所欲的新婚生活 ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する,https://movie.douban.com/subject/35778732/
奇诺之旅 キノの旅 -the Beautiful World-,https://movie.douban.com/subject/1512037/
犬夜叉：穿越时空的思念 犬夜叉 時代を越える想い,https://movie.douban.com/subject/1464449/
魔都精兵的奴隶 魔都精兵のスレイブ,https://movie.douban.com/subject/35668605/
东京卍复仇者 東京卍リベンジャーズ,https://movie.douban.com/subject/35128793/
无职转生：到了异世界就拿出真本事 Part.2 無職転生～異世界行ったら本気だす～ 第2クール,https://movie.douban.com/subject/35306636/
蜡笔小新：呼风唤雨的热带雨林 クレヨンしんちゃん 嵐を呼ぶジャングル,https://movie.douban.com/subject/2333699/
甘城光辉游乐园 甘城ブリリアントパーク,https://movie.douban.com/subject/25812280/
机动战士高达 機動戦士ガンダム,https://movie.douban.com/subject/1766697/
元尊,https://movie.douban.com/subject/35764578/
古立特宇宙 グリッドマン ユニバース,https://movie.douban.com/subject/35700022/
蓝精灵 第一季 Smurfs Season 1,https://movie.douban.com/subject/1807959/
山河剑心,https://movie.douban.com/subject/35169997/
彻夜之歌 よふかしのうた,https://movie.douban.com/subject/35656960/
摇曳露营△ 第三季 ゆるキャン△ SEASON 3,https://movie.douban.com/subject/36134154/
天使的心跳 Angel Beats!,https://movie.douban.com/subject/4202090/
K,https://movie.douban.com/subject/10545923/
大理寺日志2,https://movie.douban.com/subject/35797488/
兽爪 ケモノヅメ,https://movie.douban.com/subject/1950888/
一人之下2番外篇天师下山,https://movie.douban.com/subject/30378885/
空之境界 第五章 矛盾螺旋 劇場版 空の境界 第五章 矛盾螺旋,https://movie.douban.com/subject/3187790/
